akreditasi_sma,akreditasi_jurusan,mtk_sem1,mtk_sem2,mtk_sem3,mtk_sem4,mtk_sem5,fisika_sem1,fisika_sem2,fisika_sem3,fisika_sem4,fisika_sem5,bio_sem1,bio_sem2,bio_sem3,bio_sem4,bio_sem5,kimia_sem1,kimia_sem2,kimia_sem3,kimia_sem4,kimia_sem5,bind_sem1,bind_sem2,bind_sem3,bind_sem4,bind_sem5,bing_sem1,bing_sem2,bing_sem3,bing_sem4,bing_sem5,lulus
A,A,76 - 80,76 - 80,91 - 95,91 - 95,lebih_95,76 - 80,81 - 85,81 - 85,81 - 85,81 - 85,81 - 85,86 - 90,86 - 90,91 - 95,91 - 95,76 - 80,81 - 85,76 - 80,76 - 80,81 - 85,76 - 80,81 - 85,81 - 85,81 - 85,81 - 85,76 - 80,81 - 85,81 - 85,86 - 90,81 - 85,1
A,A,91 - 95,91 - 95,91 - 95,91 - 95,91 - 95,91 - 95,91 - 95,91 - 95,91 - 95,91 - 95,81 - 85,86 - 90,86 - 90,86 - 90,91 - 95,81 - 85,81 - 85,86 - 90,86 - 90,86 - 90,81 - 85,86 - 90,91 - 95,91 - 95,91 - 95,81 - 85,91 - 95,91 - 95,91 - 95,91 - 95,1
A,A,76 - 80,81 - 85,86 - 90,81 - 85,81 - 85,76 - 80,81 - 85,81 - 85,76 - 80,86 - 90,81 - 85,81 - 85,81 - 85,76 - 80,81 - 85,81 - 85,81 - 85,91 - 95,91 - 95,86 - 90,86 - 90,86 - 90,81 - 85,86 - 90,81 - 85,76 - 80,86 - 90,76 - 80,86 - 90,81 - 85,1
A,A,76 - 80,76 - 80,81 - 85,86 - 90,81 - 85,76 - 80,76 - 80,81 - 85,86 - 90,86 - 90,76 - 80,81 - 85,81 - 85,91 - 95,86 - 90,81 - 85,76 - 80,81 - 85,81 - 85,76 - 80,71 - 75,81 - 85,81 - 85,81 - 85,81 - 85,76 - 80,81 - 85,81 - 85,86 - 90,81 - 85,1
A,A,lebih_95,91 - 95,91 - 95,91 - 95,91 - 95,86 - 90,81 - 85,91 - 95,91 - 95,91 - 95,91 - 95,86 - 90,81 - 85,86 - 90,86 - 90,81 - 85,76 - 80,86 - 90,86 - 90,86 - 90,81 - 85,81 - 85,86 - 90,86 - 90,86 - 90,91 - 95,81 - 85,86 - 90,76 - 80,86 - 90,1
A,A,71 - 75,81 - 85,81 - 85,81 - 85,81 - 85,81 - 85,81 - 85,91 - 95,91 - 95,76 - 80,81 - 85,91 - 95,91 - 95,91 - 95,86 - 90,91 - 95,91 - 95,81 - 85,81 - 85,76 - 80,81 - 85,81 - 85,81 - 85,91 - 95,86 - 90,91 - 95,81 - 85,lebih_95,lebih_95,91 - 95,1
A,A,81 - 85,81 - 85,86 - 90,81 - 85,86 - 90,76 - 80,81 - 85,86 - 90,91 - 95,91 - 95,76 - 80,81 - 85,86 - 90,86 - 90,81 - 85,76 - 80,81 - 85,86 - 90,91 - 95,86 - 90,76 - 80,81 - 85,86 - 90,86 - 90,81 - 85,76 - 80,81 - 85,86 - 90,86 - 90,86 - 90,1
A,A,81 - 85,86 - 90,86 - 90,86 - 90,91 - 95,81 - 85,81 - 85,91 - 95,81 - 85,86 - 90,76 - 80,86 - 90,81 - 85,86 - 90,76 - 80,91 - 95,86 - 90,81 - 85,81 - 85,86 - 90,76 - 80,81 - 85,81 - 85,81 - 85,76 - 80,76 - 80,81 - 85,81 - 85,81 - 85,76 - 80,1
A,A,81 - 85,81 - 85,86 - 90,86 - 90,91 - 95,81 - 85,81 - 85,86 - 90,86 - 90,91 - 95,81 - 85,81 - 85,91 - 95,91 - 95,91 - 95,81 - 85,81 - 85,86 - 90,91 - 95,91 - 95,86 - 90,86 - 90,91 - 95,91 - 95,91 - 95,91 - 95,91 - 95,86 - 90,86 - 90,91 - 95,1
A,A,81 - 85,81 - 85,86 - 90,86 - 90,91 - 95,76 - 80,76 - 80,76 - 80,81 - 85,81 - 85,81 - 85,81 - 85,81 - 85,81 - 85,81 - 85,86 - 90,86 - 90,86 - 90,91 - 95,91 - 95,81 - 85,86 - 90,lebih_95,86 - 90,86 - 90,86 - 90,86 - 90,86 - 90,86 - 90,91 - 95,1
A,A,76 - 80,81 - 85,81 - 85,86 - 90,91 - 95,81 - 85,81 - 85,86 - 90,86 - 90,91 - 95,81 - 85,81 - 85,81 - 85,86 - 90,91 - 95,81 - 85,86 - 90,86 - 90,86 - 90,86 - 90,81 - 85,86 - 90,76 - 80,81 - 85,81 - 85,76 - 80,81 - 85,76 - 80,81 - 85,81 - 85,1
C,A,71 - 75,76 - 80,81 - 85,81 - 85,91 - 95,81 - 85,86 - 90,81 - 85,76 - 80,86 - 90,71 - 75,71 - 75,71 - 75,76 - 80,86 - 90,81 - 85,81 - 85,86 - 90,86 - 90,86 - 90,81 - 85,86 - 90,81 - 85,91 - 95,86 - 90,76 - 80,91 - 95,76 - 80,81 - 85,86 - 90,1
A,C,81 - 85,86 - 90,71 - 75,81 - 85,86 - 90,76 - 80,81 - 85,81 - 85,81 - 85,76 - 80,86 - 90,91 - 95,lebih_95,86 - 90,lebih_95,86 - 90,86 - 90,81 - 85,86 - 90,91 - 95,86 - 90,86 - 90,91 - 95,86 - 90,86 - 90,86 - 90,91 - 95,81 - 85,91 - 95,91 - 95,1
A,A,76 - 80,76 - 80,86 - 90,86 - 90,86 - 90,81 - 85,81 - 85,86 - 90,86 - 90,91 - 95,81 - 85,81 - 85,86 - 90,86 - 90,86 - 90,76 - 80,81 - 85,81 - 85,86 - 90,91 - 95,86 - 90,86 - 90,86 - 90,86 - 90,91 - 95,81 - 85,86 - 90,86 - 90,86 - 90,91 - 95,1
A,C,76 - 80,86 - 90,91 - 95,91 - 95,86 - 90,81 - 85,86 - 90,86 - 90,86 - 90,91 - 95,81 - 85,81 - 85,86 - 90,lebih_95,91 - 95,86 - 90,86 - 90,91 - 95,91 - 95,91 - 95,91 - 95,91 - 95,lebih_95,lebih_95,91 - 95,81 - 85,86 - 90,86 - 90,91 - 95,91 - 95,1
